,name,x,y,z,x.mni,y.mni,z.mni,lobe,hemi,index
1,PreCG.L,-0.42515,0.25912,1.0188,-38.65,-5.68,50.94,Frontal,L,1
2,PreCG.R,0.45507,0.21864,1.0418,41.37,-8.21,52.09,Frontal,R,2
3,SFGdor.L,-0.20295,0.90696,0.844,-18.45,34.81,42.2,Frontal,L,3
4,SFGdor.R,0.2409,0.84792,0.8764,21.9,31.12,43.82,Frontal,R,4
5,ORBsup.L,-0.18216,1.10712,-0.2662,-16.56,47.32,-13.31,Frontal,L,5
6,ORBsup.R,0.20339,1.1196,-0.2804,18.49,48.1,-14.02,Frontal,R,6
7,MFG.L,-0.36773,0.87368,0.7092,-33.43,32.73,35.46,Frontal,L,7
8,MFG.R,0.41349,0.87896,0.6808,37.59,33.06,34.04,Frontal,R,8
9,ORBmid.L,-0.33715,1.15688,-0.1924,-30.65,50.43,-9.62,Frontal,L,9
10,ORBmid.R,0.36498,1.19144,-0.2146,33.18,52.59,-10.73,Frontal,R,10
11,IFGoperc.L,-0.53273,0.55368,0.3804,-48.43,12.73,19.02,Frontal,L,11
12,IFGoperc.R,0.5522,0.58968,0.4282,50.2,14.98,21.41,Frontal,R,12
13,IFGtriang.L,-0.50138,0.82856,0.2798,-45.58,29.91,13.99,Frontal,L,13
14,IFGtriang.R,0.55363,0.83256,0.2834,50.33,30.16,14.17,Frontal,R,14
15,ORBinf.L,-0.39578,0.84136,-0.2422,-35.98,30.71,-12.11,Frontal,L,15
16,ORBinf.R,0.45342,0.86568,-0.2382,41.22,32.23,-11.91,Frontal,R,16
17,ROL.L,-0.51876,0.21432,0.279,-47.16,-8.48,13.95,Frontal,L,17
18,ROL.R,0.57915,0.25,0.2926,52.65,-6.25,14.63,Frontal,R,18
19,SMA.L,-0.05852,0.4276,1.2276,-5.32,4.85,61.38,Frontal,L,19
20,SMA.R,0.09482,0.35272,1.237,8.62,0.17,61.85,Frontal,R,20
21,OLF.L,-0.08866,0.5908,-0.2292,-8.06,15.05,-11.46,Frontal,L,21
22,OLF.R,0.11473,0.60456,-0.2252,10.43,15.91,-11.26,Frontal,R,22
23,SFGmed.L,-0.0528,1.13672,0.6178,-4.8,49.17,30.89,Frontal,L,23
24,SFGmed.R,0.1001,1.16344,0.6044,9.1,50.84,30.22,Frontal,R,24
25,ORBsupmed.L,-0.05687,1.21496,-0.148,-5.17,54.06,-7.4,Frontal,L,25
